日期,open,high,low,收盘,volume,amount,outstanding_share,turnover
2020-03-02,4.09,4.35,4.08,4.33,29937270.0,268785166.0,1386956166.0,0.02158487105352398
2020-03-03,4.4,4.45,4.22,4.26,29999103.0,270941018.0,1386956166.0,0.021629452851792578
2020-03-04,4.26,4.33,4.21,4.31,20179527.0,181249615.0,1386956166.0,0.014549505957493974
2020-03-05,4.34,4.4,4.31,4.35,25363203.0,232087764.0,1386956166.0,0.0182869535618763
2020-03-06,4.33,4.33,4.25,4.28,14158566.0,127252458.0,1386956166.0,0.010208373088555128
2020-03-09,4.2,4.23,4.14,4.14,17273498.0,151548619.0,1386956166.0,0.012454249401274878
2020-03-10,4.07,4.23,4.06,4.2,14000371.0,122068160.0,1386956166.0,0.010094313968391125
2020-03-11,4.22,4.28,4.19,4.21,12352153.0,109774829.0,1386956166.0,0.008905943318759506
2020-03-12,4.15,4.23,4.13,4.16,10803901.0,94688790.0,1386956166.0,0.007789648486987584
2020-03-13,4.02,4.11,3.98,4.06,17283347.0,146360336.0,1386956166.0,0.012461350562970855
2020-03-16,4.09,4.14,3.98,3.99,14481489.0,123944544.0,1386956166.0,0.010441201643570904
2020-03-17,3.98,4.08,3.86,3.93,13715286.0,113504645.0,1386956166.0,0.00988876673698713
2020-03-18,3.96,4.0,3.88,3.89,10266586.0,85044476.0,1386956166.0,0.00740224258824918
2020-03-19,3.91,3.91,3.76,3.8,17240466.0,138224296.0,1386956166.0,0.012430433219617698
2020-03-20,3.85,3.85,3.74,3.81,14155010.0,112671761.0,1386956166.0,0.010205809200750184
2020-03-23,3.75,3.8,3.7,3.75,10185846.0,80228503.0,1386956166.0,0.007344028780214529
2020-03-24,3.8,3.86,3.72,3.78,12567174.0,100058799.0,1386956166.0,0.009060974173570241
2020-03-25,3.86,3.87,3.81,3.86,9849277.0,79458621.0,1386956166.0,0.007101361413897777
2020-03-26,3.83,3.83,3.79,3.81,6408600.0,51301279.0,1386956166.0,0.0046206218747939865
2020-03-27,3.82,3.9,3.81,3.84,12381244.0,100223637.0,1386956166.0,0.008926918026333646
2020-03-30,3.8,3.86,3.75,3.81,7522465.0,59906584.0,1386956166.0,0.005423722237520231
2020-03-31,3.85,3.85,3.82,3.85,6837643.0,55145370.0,1386956166.0,0.004929963302099051
2020-04-01,3.85,3.87,3.81,3.83,8169032.0,65940536.0,1386956166.0,0.0058898991909453035
2020-04-02,3.84,3.86,3.83,3.86,9739810.0,78874079.0,1386956166.0,0.0070224353434973665
2020-04-03,3.87,3.89,3.79,3.83,9644581.0,77672463.0,1386956166.0,0.0069537749183632095
2020-04-07,3.86,3.96,3.85,3.93,16793831.0,137458615.0,1386956166.0,0.01210840790191202
2020-04-08,3.93,3.95,3.89,3.93,10594171.0,87356067.0,1386956166.0,0.007638432460741517
2020-04-09,3.93,4.24,3.93,4.01,15087798.0,85987866.0,1386956166.0,0.01087835244535046
2020-04-10,3.97,3.97,3.88,3.89,18807930.0,103846804.0,2066564687.0,0.009101060382147138
2020-04-13,3.85,3.95,3.77,3.92,13704382.0,74825618.0,2066564687.0,0.006631479811016436
2020-04-14,3.89,3.92,3.86,3.91,10120204.0,55526509.0,2066564687.0,0.004897114551343343
2020-04-15,3.92,3.93,3.88,3.89,8453641.0,46512789.0,2066564687.0,0.004090673305887182
2020-04-16,3.89,3.89,3.84,3.84,8366860.0,45513902.0,2066564687.0,0.004048680427296975
2020-04-17,3.85,3.89,3.83,3.84,9725757.0,52899485.0,2066564687.0,0.004706243681207352
2020-04-20,3.86,3.87,3.82,3.84,12598998.0,68345692.0,2066564687.0,0.0060965901910816885
2020-04-21,3.84,3.85,3.77,3.82,11141421.0,59658463.0,2066564687.0,0.005391276193814107
2020-04-22,3.79,3.82,3.77,3.81,6966925.0,37283082.0,2066564687.0,0.0033712590967156114
2020-04-23,3.82,3.82,3.76,3.77,10848776.0,57773630.0,2066564687.0,0.005249666786743076
2020-04-24,3.79,3.79,3.72,3.72,8932766.0,47165476.0,2066564687.0,0.004322519423753223
2020-04-27,3.72,3.72,3.67,3.68,10670718.0,55520490.0,2066564687.0,0.005163505438337145
2020-04-28,3.67,3.67,3.52,3.58,12605012.0,63644143.0,2066564687.0,0.006099500334682725
2020-04-29,3.57,3.6,3.55,3.6,6243770.0,31609754.0,2066564687.0,0.0030213281196941307
2020-04-30,3.62,3.67,3.61,3.67,8745718.0,45012131.0,2066564687.0,0.00423200786068595
2020-05-06,3.62,3.68,3.62,3.67,10737632.0,55232750.0,2066564687.0,0.005195884778031146
2020-05-07,3.65,3.81,3.64,3.78,18407176.0,96813917.0,2066564687.0,0.00890713758722037
2020-05-08,3.78,3.79,3.73,3.76,10520647.0,55755596.0,2066564687.0,0.005090886854973149
2020-05-11,3.75,3.77,3.7,3.71,10648478.0,55906028.0,2066564687.0,0.005152743616972489
2020-05-12,3.69,3.71,3.62,3.63,12149916.0,62480752.0,2066564687.0,0.005879281726059998
