日期,open,high,low,收盘,volume,amount,outstanding_share,turnover
2020-03-02,3.0,3.09,3.0,3.08,14039746.0,59453335.0,1043159148.0,0.013458872528623983
2020-03-03,3.14,3.14,3.06,3.08,16127982.0,69603280.0,1043159148.0,0.015460710890492042
2020-03-04,3.06,3.24,3.06,3.24,24451004.0,107024752.0,1043159148.0,0.02343938031591705
2020-03-05,3.21,3.35,3.19,3.33,30418523.0,138874836.0,1043159148.0,0.02916000215146462
2020-03-06,3.26,3.5,3.24,3.48,43269360.0,205870647.0,1043159148.0,0.041479155010008116
2020-03-09,3.49,3.55,3.32,3.34,38832569.0,185195156.0,1043159148.0,0.03722592959516471
2020-03-10,3.26,3.42,3.24,3.4,26063907.0,119699135.0,1043159148.0,0.024985551869023154
2020-03-11,3.49,3.51,3.41,3.43,25229443.0,120887317.0,1043159148.0,0.024185612567719148
2020-03-12,3.38,3.42,3.29,3.32,21080986.0,97698260.0,1043159148.0,0.020208791765300226
2020-03-13,3.14,3.49,3.1,3.44,39099612.0,179898682.0,1043159148.0,0.037481924090838725
2020-03-16,3.49,3.65,3.37,3.37,57620808.0,281081973.0,1043159148.0,0.055236833335041605
2020-03-17,3.36,3.46,3.21,3.31,26078055.0,119772569.0,1043159148.0,0.0249991145167046
2020-03-18,3.36,3.37,3.13,3.17,24359750.0,110096499.0,1043159148.0,0.02335190181354763
2020-03-19,3.15,3.19,3.04,3.1,19045770.0,81740820.0,1043159148.0,0.018257779780310186
2020-03-20,3.13,3.2,3.08,3.17,15637576.0,68271371.0,1043159148.0,0.014990594704538793
2020-03-23,3.09,3.16,3.06,3.09,9764600.0,41993906.0,1043159148.0,0.009360604293909716
2020-03-24,3.16,3.18,3.09,3.17,8489402.0,36972661.0,1043159148.0,0.008138165702018078
2020-03-25,3.23,3.26,3.19,3.22,11465635.0,51309103.0,1043159148.0,0.010991261517461187
2020-03-26,3.21,3.32,3.18,3.26,14323473.0,65019802.0,1043159148.0,0.013730860748776177
2020-03-27,3.35,3.38,3.29,3.31,18135600.0,83906824.0,1043159148.0,0.017385266701414194
2020-03-30,3.28,3.37,3.23,3.3,12454318.0,57145653.0,1043159148.0,0.011939039238526622
2020-03-31,3.32,3.49,3.31,3.42,21776855.0,103025912.0,1043159148.0,0.020875870227234014
2020-04-01,3.42,3.49,3.34,3.4,18391946.0,87112520.0,1043159148.0,0.017631006769448374
2020-04-02,3.34,3.42,3.34,3.42,13069879.0,61382444.0,1043159148.0,0.012529132323728613
2020-04-03,3.42,3.46,3.39,3.4,11913896.0,56603279.0,1043159148.0,0.011420976389692744
2020-04-07,3.44,3.45,3.39,3.43,16513386.0,78416278.0,1043159148.0,0.01583016937699328
2020-04-08,3.42,3.43,3.37,3.39,10758961.0,50768950.0,1043159148.0,0.010313825096225873
